ID;Section 5 of 6 [I am always prepared.];Section 5 of 6 [I am easily disturbed.];Section 5 of 6 [I am exacting (demanding) in my work.];Section 5 of 6 [I am full of ideas.];Section 5 of 6 [I am interested in people.];Section 5 of 6 [I am not interested in abstract ideas.];Section 5 of 6 [I am not interested in other people's problems.];Section 5 of 6 [I am not really interested in others.];Section 5 of 6 [I am quick to understand things.];Section 5 of 6 [I am quiet around strangers.];Section 5 of 6 [I am relaxed most of the time.];Section 5 of 6 [I am the life of the party.];Section 5 of 6 [I change my mood a lot.];Section 5 of 6 [I do not have a good imagination.];Section 5 of 6 [I don't like to draw attention to myself.];Section 5 of 6 [I don't mind being the center of attention.];Section 5 of 6 [I don't talk a lot.];Section 5 of 6 [I feel comfortable around people.];Section 5 of 6 [I feel little concern for others.];Section 5 of 6 [I feel others' emotions.];Section 5 of 6 [I follow a schedule.];Section 5 of 6 [I get chores done right away.];Section 5 of 6 [I get irritated easily.];Section 5 of 6 [I get stressed out easily.];Section 5 of 6 [I get upset easily.];Section 5 of 6 [I have a rich vocabulary.];Section 5 of 6 [I have a soft (kind) heart.];Section 5 of 6 [I have a vivid imagination.];Section 5 of 6 [I have difficulty understanding abstract ideas.];Section 5 of 6 [I have excellent ideas.];Section 5 of 6 [I have frequent mood swings.];Section 5 of 6 [I have little to say.];Section 5 of 6 [I insult people.];Section 5 of 6 [I keep in the background.];Section 5 of 6 [I leave my belongings lying around.];Section 5 of 6 [I like order.];Section 5 of 6 [I make a mess of things.];Section 5 of 6 [I make people feel at ease.];Section 5 of 6 [I neglect my duties.];Section 5 of 6 [I often feel blue (down).];Section 5 of 6 [I often forget to put things back in their proper place];Section 5 of 6 [I pay attention to details.];Section 5 of 6 [I seldom feel blue (down).];Section 5 of 6 [I spend time reflecting on things.];Section 5 of 6 [I start conversations.];Section 5 of 6 [I sympathize with others' feelings.];Section 5 of 6 [I take time out for others.];Section 5 of 6 [I talk to a lot of different people at parties.];Section 5 of 6 [I use difficult words.];Section 5 of 6 [I worry about things.];;;;;;;;;;;;;;;;;;;IPIP_HIGH_RISK
37;(3, 3);(4, 1);(3, 5);(5, 5);(2, 5);(5, 3);(2, 3);(2, 5);(5, 5);(1, 3);(4, 5);(1, 1);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 5);(2, 5);(3, 5);(3, 5);(4, 3);(4, 1);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 1);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 3);(5, 5);(4, 1);;;;;;;;;;;;;;;;;;;
38;(3, 5);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 5);(4, 5);(5, 1);(1, 3);(1, 1);(1, 3);(1, 3);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 5);(5, 5);(5, 1);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 1);(3, 3);(3, 1);(2, 5);(3, 5);(4, 5);(3, 1);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
39;(3, 3);(4, 5);(3, 3);(5, 5);(2, 5);(5, 5);(2, 3);(2, 3);(5, 5);(1, 1);(4, 5);(1, 1);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 1);(2, 5);(1, 3);(3, 3);(3, 3);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 1);(1, 3);(2, 5);(2, 5);(1, 1);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
40;(3, 3);(4, 5);(3, 3);(5, 3);(2, 1);(5, 3);(2, 5);(2, 5);(5, 3);(1, 1);(4, 5);(1, 5);(4, 1);(5, 1);(1, 1);(1, 1);(1, 5);(1, 3);(2, 5);(2, 5);(3, 3);(3, 3);(4, 1);(4, 3);(4, 1);(5, 3);(2, 5);(5, 3);(5, 3);(5, 3);(4, 1);(1, 1);(2, 3);(1, 1);(3, 1);(3, 5);(3, 3);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 5);(1, 5);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
41;(3, 5);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 5);(4, 5);(1, 5);(4, 3);(5, 5);(1, 3);(1, 5);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 3);(4, 3);(4, 3);(5, 3);(2, 3);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 5);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 3);(3, 3);(3, 5);(4, 5);(5, 3);(1, 5);(2, 5);(2, 5);(1, 5);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
42;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 1);(4, 1);(5, 5);(1, 1);(1, 1);(1, 1);(1, 5);(2, 5);(2, 5);(3, 3);(3, 5);(4, 3);(4, 3);(4, 3);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 3);(2, 5);(1, 1);(3, 3);(3, 3);(3, 3);(2, 5);(3, 5);(4, 1);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
43;(3, 5);(4, 5);(3, 3);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 3);(4, 5);(5, 5);(1, 1);(1, 1);(1, 5);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 5);(5, 3);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 3);(1, 5);(2, 5);(2, 5);(1, 5);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
44;(3, 3);(4, 5);(3, 1);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 5);(4, 5);(5, 5);(1, 3);(1, 5);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 5);(4, 3);(4, 3);(5, 3);(2, 5);(5, 5);(5, 5);(5, 3);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
45;(3, 3);(4, 5);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 1);(1, 1);(4, 5);(5, 5);(1, 3);(1, 1);(1, 5);(1, 5);(2, 1);(2, 5);(3, 3);(3, 3);(4, 5);(4, 3);(4, 5);(5, 3);(2, 5);(5, 5);(5, 5);(5, 3);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 3);(1, 5);(2, 5);(2, 5);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
46;(3, 5);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 3);(1, 3);(4, 5);(5, 5);(1, 3);(1, 3);(1, 3);(1, 5);(2, 5);(2, 5);(3, 5);(3, 3);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 1);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 5);(3, 3);(4, 5);(3, 3);(3, 5);(4, 3);(5, 3);(1, 3);(2, 5);(2, 5);(1, 3);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
47;(3, 3);(4, 5);(3, 3);(5, 5);(2, 3);(5, 5);(2, 3);(2, 3);(5, 5);(1, 3);(4, 3);(1, 1);(4, 5);(5, 5);(1, 3);(1, 1);(1, 3);(1, 3);(2, 1);(2, 5);(3, 3);(3, 3);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 3);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 3);(2, 3);(1, 1);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
48;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 3);(4, 5);(5, 5);(1, 3);(1, 3);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 5);(4, 3);(4, 5);(5, 3);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 3);(3, 1);(3, 3);(3, 3);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
49;(3, 3);(4, 3);(3, 3);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 3);(4, 3);(1, 3);(4, 3);(5, 3);(1, 3);(1, 3);(1, 3);(1, 5);(2, 1);(2, 5);(3, 5);(3, 3);(4, 3);(4, 5);(4, 3);(5, 3);(2, 5);(5, 3);(5, 3);(5, 3);(4, 5);(1, 1);(2, 5);(1, 3);(3, 5);(3, 5);(3, 3);(2, 3);(3, 5);(4, 5);(3, 3);(3, 5);(4, 3);(5, 3);(1, 3);(2, 5);(2, 3);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
50;(3, 5);(4, 5);(3, 5);(5, 5);(2, 3);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 1);(1, 1);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 1);(2, 5);(3, 5);(3, 1);(4, 5);(4, 1);(4, 5);(5, 5);(2, 5);(5, 1);(5, 5);(5, 5);(4, 5);(1, 1);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 1);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 1);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
51;(3, 3);(4, 3);(3, 5);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 3);(1, 1);(4, 5);(5, 5);(1, 3);(1, 5);(1, 3);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 3);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 3);(5, 5);(4, 3);;;;;;;;;;;;;;;;;;;
52;(3, 3);(4, 5);(3, 3);(5, 5);(2, 5);(5, 1);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 5);(4, 5);(5, 5);(1, 1);(1, 3);(1, 3);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 5);(5, 1);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 1);(3, 3);(3, 1);(2, 5);(3, 5);(4, 5);(3, 3);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 3);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
53;(3, 5);(4, 3);(3, 3);(5, 5);(2, 3);(5, 3);(2, 3);(2, 3);(5, 5);(1, 3);(4, 3);(1, 3);(4, 5);(5, 5);(1, 1);(1, 3);(1, 5);(1, 3);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 3);(5, 1);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 3);(1, 3);(2, 5);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
54;(3, 3);(4, 3);(3, 3);(5, 3);(2, 3);(5, 5);(2, 3);(2, 5);(5, 3);(1, 3);(4, 3);(1, 1);(4, 5);(5, 5);(1, 5);(1, 1);(1, 3);(1, 3);(2, 5);(2, 3);(3, 3);(3, 3);(4, 5);(4, 3);(4, 5);(5, 3);(2, 3);(5, 3);(5, 5);(5, 3);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 3);(3, 3);(4, 3);(3, 3);(3, 3);(4, 3);(5, 3);(1, 3);(2, 3);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
55;(3, 5);(4, 5);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 5);(1, 3);(4, 5);(5, 5);(1, 3);(1, 5);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 3);(1, 5);(2, 5);(2, 5);(1, 5);(5, 5);(4, 3);;;;;;;;;;;;;;;;;;;
56;(3, 3);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 3);(5, 5);(1, 1);(1, 3);(1, 3);(1, 3);(2, 1);(2, 3);(3, 1);(3, 3);(4, 3);(4, 1);(4, 3);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 3);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
57;(3, 5);(4, 3);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 3);(4, 3);(5, 5);(1, 5);(1, 1);(1, 1);(1, 3);(2, 1);(2, 3);(3, 3);(3, 3);(4, 5);(4, 3);(4, 3);(5, 3);(2, 5);(5, 5);(5, 3);(5, 5);(4, 3);(1, 1);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 1);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
58;(3, 3);(4, 3);(3, 3);(5, 5);(2, 5);(5, 5);(2, 3);(2, 3);(5, 5);(1, 1);(4, 3);(1, 5);(4, 5);(5, 5);(1, 3);(1, 5);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 3);(4, 5);(4, 3);(5, 3);(2, 3);(5, 5);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 3);(3, 3);(3, 3);(2, 5);(3, 5);(4, 3);(3, 1);(3, 3);(4, 3);(5, 5);(1, 3);(2, 5);(2, 3);(1, 5);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
59;(3, 3);(4, 3);(3, 5);(5, 5);(2, 5);(5, 3);(2, 5);(2, 5);(5, 3);(1, 3);(4, 3);(1, 3);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 3);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 3);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
60;(3, 5);(4, 5);(3, 3);(5, 5);(2, 5);(5, 5);(2, 1);(2, 5);(5, 5);(1, 3);(4, 3);(1, 5);(4, 3);(5, 5);(1, 1);(1, 1);(1, 3);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 1);(4, 1);(4, 1);(5, 3);(2, 5);(5, 5);(5, 3);(5, 5);(4, 3);(1, 5);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 3);(1, 1);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
61;(3, 3);(4, 5);(3, 5);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 3);(4, 3);(1, 3);(4, 1);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 5);(2, 5);(3, 5);(3, 3);(4, 3);(4, 3);(4, 3);(5, 3);(2, 3);(5, 5);(5, 3);(5, 3);(4, 5);(1, 3);(2, 5);(1, 1);(3, 5);(3, 5);(3, 3);(2, 3);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
62;(3, 5);(4, 3);(3, 3);(5, 5);(2, 3);(5, 5);(2, 5);(2, 3);(5, 5);(1, 5);(4, 3);(1, 3);(4, 3);(5, 1);(1, 1);(1, 3);(1, 1);(1, 5);(2, 5);(2, 5);(3, 3);(3, 5);(4, 5);(4, 1);(4, 3);(5, 5);(2, 3);(5, 1);(5, 3);(5, 5);(4, 3);(1, 3);(2, 5);(1, 1);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 3);(3, 3);(3, 5);(4, 3);(5, 3);(1, 3);(2, 5);(2, 3);(1, 1);(5, 5);(4, 3);;;;;;;;;;;;;;;;;;;
63;(3, 5);(4, 5);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 3);(4, 5);(5, 5);(1, 5);(1, 1);(1, 1);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 3);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
64;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 5);(5, 5);(1, 1);(1, 1);(1, 3);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 3);(5, 5);(4, 1);;;;;;;;;;;;;;;;;;;
65;(3, 5);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 3);(2, 5);(5, 5);(1, 3);(4, 1);(1, 3);(4, 5);(5, 5);(1, 5);(1, 1);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 5);(4, 3);(4, 5);(4, 5);(5, 5);(2, 1);(5, 5);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 1);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 3);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
66;(3, 3);(4, 3);(3, 5);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 1);(4, 3);(1, 1);(4, 5);(5, 5);(1, 3);(1, 1);(1, 5);(1, 5);(2, 5);(2, 5);(3, 5);(3, 3);(4, 5);(4, 3);(4, 3);(5, 3);(2, 5);(5, 3);(5, 5);(5, 3);(4, 3);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
67;(3, 3);(4, 5);(3, 5);(5, 3);(2, 5);(5, 3);(2, 3);(2, 5);(5, 3);(1, 3);(4, 5);(1, 1);(4, 1);(5, 5);(1, 3);(1, 5);(1, 5);(1, 3);(2, 1);(2, 5);(3, 5);(3, 5);(4, 3);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 3);(5, 3);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 3);(3, 3);(2, 3);(3, 5);(4, 3);(3, 5);(3, 5);(4, 5);(5, 5);(1, 5);(2, 3);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
68;(3, 5);(4, 3);(3, 3);(5, 3);(2, 5);(5, 3);(2, 5);(2, 5);(5, 3);(1, 1);(4, 5);(1, 3);(4, 3);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 1);(2, 5);(3, 3);(3, 3);(4, 3);(4, 3);(4, 3);(5, 3);(2, 5);(5, 3);(5, 3);(5, 5);(4, 5);(1, 3);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 3);(3, 5);(4, 3);(5, 5);(1, 3);(2, 3);(2, 3);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
69;(3, 5);(4, 3);(3, 3);(5, 5);(2, 3);(5, 3);(2, 3);(2, 3);(5, 3);(1, 1);(4, 3);(1, 1);(4, 3);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 3);(2, 3);(3, 5);(3, 1);(4, 3);(4, 3);(4, 3);(5, 3);(2, 5);(5, 5);(5, 3);(5, 3);(4, 3);(1, 1);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 3);(3, 3);(3, 5);(4, 3);(5, 3);(1, 1);(2, 3);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
70;(3, 5);(4, 3);(3, 3);(5, 3);(2, 5);(5, 3);(2, 3);(2, 1);(5, 5);(1, 5);(4, 3);(1, 1);(4, 3);(5, 3);(1, 5);(1, 5);(1, 5);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 3);(4, 5);(4, 5);(5, 3);(2, 3);(5, 3);(5, 3);(5, 3);(4, 3);(1, 5);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 3);(3, 5);(4, 3);(5, 3);(1, 3);(2, 5);(2, 5);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
71;(3, 3);(4, 5);(3, 5);(5, 5);(2, 3);(5, 5);(2, 3);(2, 5);(5, 3);(1, 3);(4, 5);(1, 3);(4, 3);(5, 5);(1, 5);(1, 3);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 1);(4, 3);(4, 3);(5, 5);(2, 3);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 3);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 3);(1, 3);(5, 5);(4, 3);;;;;;;;;;;;;;;;;;;
72;(3, 3);(4, 5);(3, 5);(5, 5);(2, 3);(5, 3);(2, 5);(2, 5);(5, 3);(1, 1);(4, 3);(1, 1);(4, 5);(5, 5);(1, 1);(1, 5);(1, 1);(1, 3);(2, 5);(2, 5);(3, 3);(3, 3);(4, 5);(4, 1);(4, 3);(5, 3);(2, 5);(5, 5);(5, 3);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 3);(3, 3);(2, 5);(3, 3);(4, 3);(3, 3);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 3);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
73;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 3);(2, 1);(5, 5);(1, 5);(4, 1);(1, 5);(4, 3);(5, 1);(1, 3);(1, 5);(1, 5);(1, 5);(2, 3);(2, 3);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 3);(5, 5);(5, 1);(5, 3);(4, 1);(1, 1);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 1);(4, 5);(3, 5);(3, 5);(4, 1);(5, 3);(1, 5);(2, 3);(2, 3);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
74;(3, 3);(4, 1);(3, 3);(5, 5);(2, 3);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 1);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 3);(2, 3);(3, 3);(3, 3);(4, 1);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 5);(5, 3);(4, 5);(1, 1);(2, 1);(1, 1);(3, 3);(3, 3);(3, 5);(2, 3);(3, 5);(4, 5);(3, 1);(3, 5);(4, 3);(5, 5);(1, 1);(2, 3);(2, 3);(1, 1);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
75;(3, 5);(4, 3);(3, 5);(5, 5);(2, 5);(5, 3);(2, 5);(2, 5);(5, 5);(1, 5);(4, 3);(1, 1);(4, 3);(5, 5);(1, 1);(1, 5);(1, 3);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 3);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
76;(3, 5);(4, 5);(3, 1);(5, 5);(2, 5);(5, 3);(2, 3);(2, 5);(5, 5);(1, 1);(4, 3);(1, 3);(4, 5);(5, 5);(1, 1);(1, 3);(1, 3);(1, 5);(2, 1);(2, 5);(3, 5);(3, 3);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 3);(1, 1);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
