CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type,2018,Footnotes,Type,2019,Footnotes,Type
70,Bosnia and Herzegovina,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.03,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.04,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.28,,C, , , , , , , , , , , , , , , 
72,Botswana,567,Y,"Proportion of land area covered by forest, percentage",24.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.1,,C, , , , , , , , , , , , ,21.1,,C, , , , , , , , , , , , ,20,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
72,Botswana,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2178.2,,G,2148.9,,G,3274.6,,G,3498.3,,G,3494.7,,G,3524,,G,3139,,G,3212.3,,G,3832,,G,3546,,G,4275.7,,G,4334.4,,G,4484.7,,G,4264.7,,G,4378.4,,G,4616.8,,G,4646.1,,G,4701.1,,G,4979.8,,G,4400.4,,G,5232.8,,G,4855.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
72,Botswana,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",17.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.13,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.15,,C, , , , , , , , , , , , , , , 
76,Brazil,567,Y,"Proportion of land area covered by forest, percentage",69,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,65.6,,C, , , , , , , , , , , , ,63.7,,C, , , , , , , , , , , , ,62.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
76,Brazil,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",208887,,G,219330.6,,G,220705.7,,G,230738.6,,G,242154,,G,258347.5,,G,284782.9,,G,300547.3,,G,312289.1,,G,320173.1,,G,327983.8,,G,337433.7,,G,332266.9,,G,321621.6,,G,337826,,G,347308.9,,G,347668.3,,G,363212.7,,G,387675.2,,G,367147.4,,G,419754.2,,G,439412.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
76,Brazil,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",4.73,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.22,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.37,,C, , , , , , , , , , , , , , , 
92,British Virgin Islands,567,Y,"Proportion of land area covered by forest, percentage",25,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,25,,E, , , , , , , , , , , , ,25,,E, , , , , , , , , , , , ,25,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
92,British Virgin Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",66,,G,66,,G,69.7,,G,73.3,,G,80.7,,G,84.3,,G,95.3,,G,99,,G,102.7,,G,102.7,,G,102.7,,G,106.3,,G,113.7,,G,121,,G,124.7,,G,132,,G,143,,G,150.3,,G,161.3,,G,165,,G,172.3,,G,176,,G, , , , , , , , , , , , , , , , , , , , , , , , 
92,British Virgin Islands,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.06,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.08,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.08,,C, , , , , , , , , , , , , , , 
96,Brunei Darussalam,567,Y,"Proportion of land area covered by forest, percentage",78.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,75.3,,C, , , , , , , , , , , , ,73.8,,C, , , , , , , , , , , , ,72.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
96,Brunei Darussalam,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",6211.9,,G,5548.2,,G,5504.2,,G,5273.1,,G,5001.8,,G,5097.1,,G,5170.5,,G,5361.2,,G,5570.2,,G,4231.7,,G,6105.6,,G,5753.5,,G,4855.1,,G,4877.1,,G,4847.8,,G,4620.4,,G,4272.1,,G,9053.8,,G,10029.2,,G,8573.4,,G,8602.8,,G,9743.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
96,Brunei Darussalam,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",24.94,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.68,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.68,,C, , , , , , , , , , , , , , , 
100,Bulgaria,567,Y,"Proportion of land area covered by forest, percentage",30.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,30.5,,C, , , , , , , , , , , , ,33.6,,C, , , , , , , , , , , , ,36.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
100,Bulgaria,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",75763.9,,G,58177,,G,54458.6,,G,68077.9,,G,54344.9,,G,58004.6,,G,56559.8,,G,51616.7,,G,48998.5,,G,43982,,G,43531,,G,46453.6,,G,44634.7,,G,47308,,G,46787.3,,G,47909.4,,G,48943.4,,G,52188.7,,G,50791.6,,G,42654.5,,G,44128.7,,G,49339.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
100,Bulgaria,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.52,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.32,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31.46,,C, , , , , , , , , , , , , , , 
854,Burkina Faso,567,Y,"Proportion of land area covered by forest, percentage",25,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.8,,C, , , , , , , , , , , , ,21.7,,C, , , , , , , , , , , , ,20.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
854,Burkina Faso,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",586.7,,G,627.1,,G,630.7,,G,627.1,,G,645.4,,G,627.1,,G,707.7,,G,806.7,,G,861.7,,G,931.4,,G,1041.4,,G,997.4,,G,1004.8,,G,1078.1,,G,1103.8,,G,1125.8,,G,1360.5,,G,1646.5,,G,1697.8,,G,1664.8,,G,1683.2,,G,1932.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
854,Burkina Faso,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",13.96,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.13,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.47,,C, , , , , , , , , , , , , , , 
108,Burundi,567,Y,"Proportion of land area covered by forest, percentage",11.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.7,,C, , , , , , , , , , , , ,7,,C, , , , , , , , , , , , ,6.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
108,Burundi,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",293.4,,G,337.4,,G,308,,G,326.4,,G,333.7,,G,322.7,,G,319,,G,304.4,,G,293.4,,G,286,,G,289.7,,G,205.4,,G,212.7,,G,161.3,,G,198,,G,154,,G,187,,G,187,,G,190.7,,G,190.7,,G,194.4,,G,209,,G, , , , , , , , , , , , , , , , , , , , , , , , 
108,Burundi,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.84,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.85,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.89,,C, , , , , , , , , , , , , , , 
116,Cambodia,567,Y,"Proportion of land area covered by forest, percentage",73.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,65.4,,C, , , , , , , , , , , , ,60.8,,C, , , , , , , , , , , , ,57.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
116,Cambodia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",451,,G,462,,G,476.7,,G,476.7,,G,539,,G,1551.1,,G,1617.1,,G,1540.1,,G,1950.8,,G,1895.8,,G,1976.5,,G,2251.5,,G,2207.5,,G,2379.9,,G,2445.9,,G,2775.9,,G,2999.6,,G,3483.7,,G,3975,,G,4132.7,,G,4187.7,,G,4495.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
116,Cambodia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.32,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.61,,C, , , , , , , , , , , , , , , 
120,Cameroon,567,Y,"Proportion of land area covered by forest, percentage",51.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,46.8,,C, , , , , , , , , , , , ,44.5,,C, , , , , , , , , , , , ,42.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
120,Cameroon,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1738.2,,G,1111.1,,G,3795.3,,G,3898,,G,3817.3,,G,4363.7,,G,4602.1,,G,3216,,G,3208.6,,G,3080.3,,G,3432.3,,G,3421.3,,G,3417.6,,G,3795.3,,G,3956.7,,G,3696.3,,G,3861.4,,G,5834.2,,G,5544.5,,G,6673.9,,G,6706.9,,G,5661.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
120,Cameroon,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",5.71,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.42,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.65,,C, , , , , , , , , , , , , , , 
124,Canada,567,Y,"Proportion of land area covered by forest, percentage",34.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,34.1,,C, , , , , , , , , , , , ,34.1,,C, , , , , , , , , , , , ,34.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
124,Canada,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",435181.2,,G,426780.1,,G,440608.4,,G,445665.2,,G,456955.9,,G,467527.8,,G,479463.9,,G,494601.3,,G,506456.7,,G,515462.9,,G,534483.6,,G,527927,,G,519335.2,,G,553185.3,,G,552349.2,,G,563071.5,,G,550233.4,,G,560801.6,,G,544105.8,,G,507424.8,,G,496104.8,,G,485463.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
124,Canada,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.77,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.63,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.24,,C, , , , , , , , , , , , , , , 
132,Cape Verde,567,Y,"Proportion of land area covered by forest, percentage",14.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.3,,C, , , , , , , , , , , , ,20.8,,C, , , , , , , , , , , , ,21.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
132,Cape Verde,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",88,,G,91.7,,G,102.7,,G,102.7,,G,110,,G,113.7,,G,139.3,,G,143,,G,154,,G,172.3,,G,187,,G,209,,G,245.7,,G,253,,G,264,,G,293.4,,G,308,,G,370.4,,G,286,,G,304.4,,G,293.4,,G,425.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
132,Cape Verde,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.01,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01,,C, , , , , , , , , , , , , , , 
136,Cayman Islands,567,Y,"Proportion of land area covered by forest, percentage",50,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,,C, , , , , , , , , , , , ,50,,C, , , , , , , , , , , , ,50,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
136,Cayman Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",253,,G,275,,G,311.7,,G,333.7,,G,366.7,,G,366.7,,G,388.7,,G,407,,G,425.4,,G,421.7,,G,454.7,,G,454.7,,G,469.4,,G,480.4,,G,462,,G,480.4,,G,484,,G,583.1,,G,594.1,,G,561.1,,G,564.7,,G,583.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
136,Cayman Islands,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.37,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.54,,C, , , , , , , , , , , , , , , 
140,Central African Republic,567,Y,"Proportion of land area covered by forest, percentage",37.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,36.8,,C, , , , , , , , , , , , ,36.5,,C, , , , , , , , , , , , ,36.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
140,Central African Republic,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",198,,G,205.4,,G,216.4,,G,223.7,,G,234.7,,G,234.7,,G,234.7,,G,245.7,,G,249.4,,G,264,,G,267.7,,G,245.7,,G,245.7,,G,234.7,,G,212.7,,G,212.7,,G,227.4,,G,234.7,,G,234.7,,G,234.7,,G,264,,G,286,,G, , , , , , , , , , , , , , , , , , , , , , , , 
140,Central African Republic,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",17.65,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.09,,C, , , , , , , , , , , , , , , 
148,Chad,567,Y,"Proportion of land area covered by forest, percentage",10.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.8,,C, , , , , , , , , , , , ,9.5,,C, , , , , , , , , , , , ,9.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
148,Chad,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",146.7,,G,69.7,,G,88,,G,99,,G,102.7,,G,102.7,,G,106.3,,G,113.7,,G,113.7,,G,121,,G,176,,G,172.3,,G,168.7,,G,381.4,,G,377.7,,G,399.7,,G,407,,G,462,,G,509.7,,G,491.4,,G,517,,G,539,,G, , , , , , , , , , , , , , , , , , , , , , , , 
148,Chad,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",11.68,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.68,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.78,,C, , , , , , , , , , , , , , , 
152,Chile,567,Y,"Proportion of land area covered by forest, percentage",20.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,21.1,,C, , , , , , , , , , , , ,21.4,,C, , , , , , , , , , , , ,21.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
152,Chile,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",33314.7,,G,31323.5,,G,32475,,G,34627.5,,G,38103.8,,G,41745.1,,G,48499.7,,G,56394.8,,G,57641.6,,G,61513.9,,G,58815,,G,53549.2,,G,55335,,G,55602.7,,G,60054.5,,G,61818.3,,G,64814.2,,G,71638.5,,G,71851.2,,G,66805.4,,G,72258.2,,G,79408.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
152,Chile,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.17,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.85,,C, , , , , , , , , , , , , , , 
156,China,567,Y,"Proportion of land area covered by forest, percentage",16.7,1,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.8,1,C, , , , , , , , , , , , ,20.5,1,C, , , , , , , , , , , , ,21.9,1,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
156,China,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2460744,,G,2584538.3,,G,2695982.1,,G,2878694,,G,3058241.3,,G,3320285.2,,G,3463089.1,,G,3469510,,G,3324344.5,,G,3318055.6,,G,3405179.9,,G,3487566.4,,G,3694242.1,,G,4525177,,G,5288166,,G,5790017,,G,6414463.1,,G,6791804.7,,G,7035443.9,,G,7692210.9,,G,8256969.2,,G,9019518.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
156,China,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",12.38,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.18,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.61,,C, , , , , , , , , , , , , , , 
344,"China, Hong Kong Special Administrative Region",567,Y,"Proportion of land area covered by forest, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
344,"China, Hong Kong Special Administrative Region",749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",27660.2,,G,28892.3,,G,33428.4,,G,35129.9,,G,31429.9,,G,31620.5,,G,29365.3,,G,30854.1,,G,39233.2,,G,42753.6,,G,40465.3,,G,37971.8,,G,36952.4,,G,40065.6,,G,38415.5,,G,40546,,G,38554.8,,G,39963,,G,38573.2,,G,36996.4,,G,36288.6,,G,40274.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
344,"China, Hong Kong Special Administrative Region",616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",41.13,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,41.84,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41.84,,C, , , , , , , , , , , , , , , 
446,"China, Macao Special Administrative Region",567,Y,"Proportion of land area covered by forest, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
446,"China, Macao Special Administrative Region",749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1034.1,,G,1092.8,,G,1085.4,,G,1188.1,,G,1283.5,,G,1243.1,,G,1415.5,,G,1499.8,,G,1565.8,,G,1532.8,,G,1635.5,,G,1686.8,,G,1525.5,,G,1536.5,,G,1727.2,,G,1837.2,,G,1631.8,,G,1543.8,,G,1338.5,,G,1455.8,,G,1199.1,,G,1166.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
446,"China, Macao Special Administrative Region",616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
170,Colombia,567,Y,"Proportion of land area covered by forest, percentage",56.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,55.4,,C, , , , , , , , , , , , ,55,,C, , , , , , , , , , , , ,54.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
170,Colombia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",57337.2,,G,57120.9,,G,62049.3,,G,64022.2,,G,67571.8,,G,59614.4,,G,60527.5,,G,64909.6,,G,65976.7,,G,56512.1,,G,57923.9,,G,56273.8,,G,55661.4,,G,57421.6,,G,55071,,G,60945.5,,G,62940.4,,G,62430.7,,G,65158.9,,G,67432.5,,G,78583.8,,G,72423.3,,G, , , , , , , , , , , , , , , , , , , , , , , , 
170,Colombia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",11.58,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,12.34,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.37,,C, , , , , , , , , , , , , , , 
174,Comoros,567,Y,"Proportion of land area covered by forest, percentage",6.5,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.3,,E, , , , , , , , , , , , ,2.7,,E, , , , , , , , , , , , ,1.6,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
174,Comoros,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",77,,G,77,,G,77,,G,77,,G,77,,G,80.7,,G,66,,G,66,,G,73.3,,G,80.7,,G,84.3,,G,88,,G,91.7,,G,99,,G,102.7,,G,110,,G,121,,G,117.3,,G,121,,G,121,,G,132,,G,157.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
174,Comoros,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.38,,C, , , , , , , , , , , , , , , 
178,Congo,567,Y,"Proportion of land area covered by forest, percentage",66.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,66,,C, , , , , , , , , , , , ,65.8,,C, , , , , , , , , , , , ,65.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
178,Congo,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1188.1,,G,1265.1,,G,1573.1,,G,1543.8,,G,2148.9,,G,1565.8,,G,1716.2,,G,2343.2,,G,777.4,,G,821.4,,G,1048.8,,G,766.4,,G,575.7,,G,916.8,,G,949.8,,G,1239.4,,G,1118.4,,G,1213.8,,G,1309.1,,G,1705.2,,G,1925.2,,G,2247.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
178,Congo,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.51,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.99,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31.81,,C, , , , , , , , , , , , , , , 
184,Cook Islands,567,Y,"Proportion of land area covered by forest, percentage",62.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,66.7,,C, , , , , , , , , , , , ,66.7,,C, , , , , , , , , , , , ,66.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
184,Cook Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",22,,G,22,,G,22,,G,22,,G,22,,G,22,,G,22,,G,22,,G,22,,G,29.3,,G,29.3,,G,33,,G,29.3,,G,33,,G,55,,G,62.3,,G,66,,G,66,,G,69.7,,G,69.7,,G,69.7,,G,69.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
184,Cook Islands,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
188,Costa Rica,567,Y,"Proportion of land area covered by forest, percentage",50.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,46.5,,C, , , , , , , , , , , , ,48.8,,C, , , , , , , , , , , , ,51,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
188,Costa Rica,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2955.6,,G,3337,,G,3791.7,,G,3953,,G,5269.5,,G,4866.1,,G,4748.8,,G,4987.1,,G,5317.2,,G,5522.5,,G,5474.8,,G,5760.9,,G,6325.6,,G,6626.3,,G,6930.6,,G,6868.3,,G,7099.3,,G,8122.4,,G,8327.8,,G,7601.7,,G,7568.7,,G,7843.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
188,Costa Rica,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.23,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.05,,C, , , , , , , , , , , , , , , 
384,Cote d'Ivoire,567,Y,"Proportion of land area covered by forest, percentage",32.1,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,32.5,,E, , , , , , , , , , , , ,32.7,,E, , , , , , , , , , , , ,32.7,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
